,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1890,GEG,HM,HL,,1," I. Andrej ewski, Director des Archäologie gischen Instituts und Professor emer. in St. Petersburg. (1887). 
"
2,1890,GEG,HM,HL,,2," I. R. Aspelin, Staats-Archäolog in Hel-singfors. (1887). 
"
3,1890,GEG,HM,HL,,3," Dr. August Bielenstein, Pastor in Doblen (1887). 
"
4,1890,GEG,HM,HL,,4," Nikolai Freiherr v. Boguschewski in Ples--kau. (1879). 
"
5,1890,GEG,HM,HL,,5," Landrath Arved v.Br asch auf Ropkoy. (1888). 
"
6,1890,GEG,HM,HL,,6," Woldemar Graf von dem Broel-Plater auf Dombrowitza in Wolhynien. (1876). 
"
7,1890,GEG,HM,HL,,7," Theodor Baron Bühl er, Geheimrath, Direc-tor des Haupt-Staatsarchivs des Ministeriums der auswärtigen Angelegenheiten in Moskau. (1875). 
"
8,1890,GEG,HM,HL,,8," A. F. Bytschkow, Geheimrath, Bice-Präsi-dent der Kaiserl. Archäologischen Gesellschaft in St. Petersburg. (1887). 
"
9,1890,GEG,HM,HL,,9," Dr. Jakob Hurt, Pastor in St. Petersburg. (1887). 
"
10,1890,GEG,HM,HL,,10," Paul Jordan, Secretär des statistischen Bu-reaus in Reval. (1887). 
"
11,1890,GEG,HM,HL,,11," Michael Kapustin, Geheimrath, Curator des St. Petersburger Lehrbezirks. (1883). 
"
12,1890,GEG,HM,HL,,12," Dr. Alexander Graf Keyse rling, Hofmeister, auf Raiküll in Estland. (1863). 
"
13,1890,GEG,HM,HL,,13," E. Ku ni k, Akademiker in St. Petersburg. (1860). 
"
14,1890,GEG,HM,HL,,14," Karl Malm, Propst zu Rappel in Estland. (1887). 
"
15,1890,GEG,HM,HL,,15," Dr. Georg Alexander, Herzog zu Mecklen-burg-Strelitz, in St. Petersburg. (1883). 
"
16,1890,GEG,HM,HL,,16," Dr. Friedrich Baron Meyendorff, Livlän-bischer Landmarschall. (1887). 
"
17,1890,GEG,HM,HL,,17," Rubolph v. Raison, Pastor einer., zu Lassen in Kurlanb. (1887). 
"
18,1890,GEG,HM,HL,,18," I. Sabj elin, Director bes Mosk.Museums. (1887). 
"
19,1890,GEG,HM,HL,,19," Anbrei Alexanbrowitsch Ssaburow, Staats-secretär unb Senateur in St. Petersburg. (1876). 
"
20,1890,GEG,HM,HL,,20," Alexanber Baron Stackelberg, Senateur. (1881). 
"
21,1890,GEG,HM,HL,,21," Iwan Graf Tolstoiin St. Petersburg. (1882). 
"
22,1890,GEG,HM,HL,,22," Gräfin Prasskowja U w a r o w, Präsibentin der Moskauer Archäologischen Gesellschaft. (1887). 
"
23,1890,GEG,HM,AB,,23," Prinz Louis Lucian Bonaparte, K. H. in Lonbon. (1877). 
"
24,1890,GEG,HM,AB,,24," Dr. Joseph Bubenz, Professor in Bubapest. (1887). 9* 
"
25,1890,GEG,HM,AB,,25," Dr. Friedrich Georg v. Bunge, Wirkl. Staats-rath, in Wiesbaden. (1861). 
"
26,1890,GEG,HM,AB,,26," Hermann Dannenberg, Landgerichtsrath in Berlin. (1887). 
"
27,1890,GEG,HM,AB,,27," Dr. Paul Hunfalvy, Akademiker in Buda-pest. (1869). 
"
28,1890,GEG,HM,AB,,28," Dr. Georg Loeschcke, Professor in Bonn. (1889). 
"
29,1890,GEG,HM,AB,,29," Dr. Karl Schirren, Professor in Kiel. (1869). 
"
30,1890,GEG,HM,AB,,30," Dr. Ludwig Stieda, Prof. in Königsberg. (1885). 
"
31,1890,GEG,HM,AB,,31," Dr. Wilhelm Thomsen, Prof. in Kopenha-gen. 1887). 
"
32,1890,GEG,HM,AB,,32," Dr. Max Toeppen, Gymnasial-Director in El-bing. (1887). 
"
33,1890,GEG,HM,AB,,33," Dr. Eduard Winkelmann, Professor der Ge-schichte in Heidelberg. (1869). 
"
34,1890,GEG,CM,HL,,1," Friedrich Amelung, Fabrikbesitzer in Katha-rina-Lisette bei Woisek. (1887). 
"
35,1890,GEG,CM,HL,,2," G. v. BlanckenHagen auf Weißenstein bei Wenden. (1889). 
"
36,1890,GEG,CM,HL,,3," Frau v. Blanckenhag en, geb. Baronesse Maydell, zu Allasch. (1889). 
"
37,1890,GEG,CM,HL,,4," Dr. Emil Bretsch neider, früher Gesandt-schaftsarzt in Peking, jetzt in St. Petersburg. (1870). 
"
38,1890,GEG,CM,HL,,5," Baron Hermann v. Bruiningk, livl.Ritter-schasts-Secretär in Riga. (1887). 
"
39,1890,GEG,CM,HL,,6," Dr. med. Max. Buch in Helsingfors. (1882). 
"
40,1890,GEG,CM,HL,,7," Julius Doering, Portraitmaler in Mitau. (1887). 
"
41,1890,GEG,CM,HL,,8,"  E .  D o l b e s c h e w ,  O b e r l e h r e r  i n  W l a d i k a w -kas. (1885). 
"
42,1890,GEG,CM,HL,,9," Dr. O. Donner, Professor der vergl. Sprach-Wissenschaft in Helsingfors. (1865). 
"
43,1890,GEG,CM,HL,,10," Dr. Otto Duhmberg, Staatsrath in Dor-pat. (1859). 
"
44,1890,GEG,CM,HL,,11," Dr. Wladislaw Dybowskyin Minsk. (1879). 
"
45,1890,GEG,CM,HL,,12," Heinrich Gern Hardt zu Neu-Camby. (1886). 
"
