,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1900,GGuA,HM,,,1," Geh. Regierungsrath Professor Dr. Carl Schirren. Kiel. 1862. 
"
2,1900,GGuA,HM,,,2," Wirkl. Staatsrath Dr. jur. August v. Oettingen, Riga. 1866. 
"
3,1900,GGuA,HM,,,3," Pastor Dr. August Bielenstein. Doblen in Kurland. 1869. 
"
4,1900,GGuA,HM,,,4," Geheimer Medicinalrath Professor Dr. Rudolf Virchow, Berlin. 1877. 
"
5,1900,GGuA,HM,,,5," Wirkl. Staatsrath Professor Dr. Leo Meyer, Göttingen. 1884. 
"
6,1900,GGuA,HM,,,6," Professor Dr. Friedrich Bienemann sen., Freiburg i. Br. 1884. 
"
7,1900,GGuA,HM,,,7," Königl. schwedischer Reichsarchivar a. D. Dr. Carl Gustaf Malmström, Stockholm. 1884. 
"
8,1900,GGuA,HM,,,8," Gräfin Praskowja Sergejewna Uwarow, Präsident der Kaiserlichen archäologischen Gesellschaft zu Moskau. 1894. 
"
9,1900,GGuA,HM,,,9," Dr. Stanislaus Smolka, Generalsecretair der Akademie der Wissenschaften zu Krakau. 1894. 
"
10,1900,GGuA,HM,,,10," Wirkl. Staatsrath Professor Dr. Richard Hausmann, Jur-jew (Dorpat). 1895. Derzeitiges' Mitglied des Direc-toriums der Gesellschaft. 
"
11,1900,GGuA,PM,,,1," Geheimrath Graf Emanuel Sievers. Oberhofmeister des Kaiserl. Hofes und Senateur, auf Schloss Wenden in Livland. 1856. 
"
12,1900,GGuA,CM,,,1," Professor Dr. Carl Lohmeyer, Königsberg. 1862. 
"
13,1900,GGuA,CM,,,2," Geh. Regierungsrath Dr. Julius v. Eckardt, kaiserl. deut­scher Generalconsul in Basel. 1868. I \ 224 
"
14,1900,GGuA,CM,,,3," Professor Dr. Konstantin Höhlbaum, Glessen. 1873. 
"
15,1900,GGuA,CM,,,4," Stadtarchivar Dr. Karl Koppmann, Rostock. 1876. 
"
