,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1884,GGuA,HM,,,1," Mitglied des Reichsraths wirkl. Geheimrath. G e o r g V. B r e v e m , St. Petersburg. 1859. 
"
2,1884,GGuA,HM,,,2," Wirkl. Staatsrath Dr. F r i e d r i c h Georg v. Bunge , Wiesbaden. 1859. 
"
3,1884,GGuA,HM,,,3," Mitglied des Reichsraths Staatssecretair wirkl. Geheim-rath Graf P e t e r A l e x a n d r o w i t s c h Walu jew, St. Petersburg. 1861. 
"
4,1884,GGuA,HM,,,4," Professor Dr. Car l S c h i r r e n , Kiel. 1862. 
"
5,1884,GGuA,HM,,,5," Mitglied des Reichsraths Gcncraladjutant General der Cavallerie Graf P e t e r A n d r e j e w i t s c h Schuwalow. 1865. 
"
6,1884,GGuA,HM,,,6," Hofmeister des kaiserl. Hofes Stadtrath Dr. Augus t V. Oe t t i ngen , Riga. 1866. 
"
7,1884,GGuA,HM,,,7," Hofmeister des kaiserl. Hofes Dr. Graf A l e x a n d e r  Keyserlingauf Raiküllin Estland.1866.
"
8,1884,GGuA,HM,,,8," Wirkl. Staatsrath Dr. E r n s t K u n i k , Mitglied der kaiserl. Akademie der Wissenschaften zu St. Peters-burg. 1869. - 
"
9,1884,GGuA,HM,,,9," Dr. Augus t B ie l ens t e in , Pastor zu Doblen in Kur-land. 1869. 
"
10,1884,GGuA,HM,,,10," Geheimrath Graf Emmer ich H u t t e n - C z a p s k i auf Stankow, Gouvernement Minsk. 1870. 
"
11,1884,GGuA,HM,,,11," Gymnasialdireotor Dr. Max T o e p p e n in Marienwerder, Westpreussen. 1874. 154 
"
12,1884,GGuA,HM,,,12," Wirkl. Geheimrath Baron T h e o d o r Büh le r , Director des Hauptstaatsarchivs des Ministeriums der auswärtigen Angelegenheiten zu Moskau. 1875. 
"
13,1884,GGuA,HM,,,13," Geheimer Medicinalrath Professor Dr.Rudolf Vi rcho w, Berlin. 1877. 
"
14,1884,GGuA,HM,,,14," Dr. phil. Car l B o r n h a u p t , Riga. 1878. Derzeitiger Museumsinspector der Gesellschaft. 
"
15,1884,GGuA,HM,,,15," Wirkl. Staatsrath Dr. E d u a r d V. H a f f n e r , Riga. 1879. 
"
16,1884,GGuA,HM,,,16," Consistorialrath Oberpastor emer., Dr. theol. et phil.  Christian August Berkholz, Riga.1884.
"
17,1884,GGuA,HM,,,17," Wirkl.Staatsrath Professor Dr. Co n st an t in G r e w i n g k , Dorpat. 1884. 
"
18,1884,GGuA,HM,,,18," Wirkl. Staatsrath Professor Dr. Leo Meyer , Dorpat. 1884. 
"
19,1884,GGuA,HM,,,19," F r i e d r i c h B i e n e m a n n , Redacteur der baltischen Monatsschrift, Reval. 1884. 
"
20,1884,GGuA,HM,,,20," Geheimrath Afanass i F e d o r o w i t s c h B y t s c h k o w , Director der kaiserl. öffentlichen Bibliothek zu St. Petersburg. 1884. 
"
21,1884,GGuA,HM,,,21," Geheimrath Dr. F e r d i n a n d J o h a n n Wiedemann^ Mitglied der kaiserl. Akademie der Wissenschaften zu St. Petersburg. 1884. 
"
22,1884,GGuA,HM,,,22," Hofrath Professor Dr. E d u a r d Winke lmann , Heidel-berg. 1884. 
"
23,1884,GGuA,HM,,,23," Dr. Augus t Essenwein , Director des germanischen Nationalmuseums zu Nürnberg. 1884. 
"
24,1884,GGuA,HM,,,24," Wirkl. Geheimrath Dr. Kurd v. Schlözer , königl. preussischer ausserordentlicher Gesandter und bevoll-mächtigter Minister bei der päpstlichen Curie, Rom. 1884. 
"
25,1884,GGuA,HM,,,25," Staatsrath Dr. F r e d r i k F e r d i n a n d Car l son , Stock-holm. 1884. 
"
26,1884,GGuA,HM,,,26," Königl. schwedischer Reichsarchivar Dr. Car l Gus ta f Malmst röm, Stockholm. 1884, 155 
"
27,1884,GGuA,PM,,,1," Dr. Wi lhe lm B r a c h m a n n , Herischdorf in Schlesien. 1847. 
"
28,1884,GGuA,PM,,,2," Geheimrath Graf Emanue l S i e v e r s , Hofmeister des kaiserl. Hofes und Senateur, auf Schloss Wenden in Livland. 1856. 
"
29,1884,GGuA,PM,,,3," Literat R e i n h o l d P h i l i p p S c h i l l i n g , ""Riga. 1869. 
"
30,1884,GGuA,PM,,,4," Wirkl. Staatsrath T h e o d o r J u l i u s K u c h c z y n s k i , Frankfurt a. M. 1876. 
"
31,1884,GGuA,CM,,,1," Geheimrath Dr. Baron B e r n h a r d v. K ö h n e , St. Peters-burg. 1843, 
"
32,1884,GGuA,CM,,,2," Dr. E d u a r d v. M u r a l t , Lausanne. 1844. 
"
33,1884,GGuA,CM,,,3," Archivrath Freiherr F r i e d r . v. Medem, Homburg vor der Höhe. 1844. 
"
34,1884,GGuA,CM,,,4," Geheimrath N i k o l a i Murzakewicz , Odessa. 1847. 
"
35,1884,GGuA,CM,,,5," Professor Dr. R i c h a r d R ö p e l l , Breslau. 1847. 
"
36,1884,GGuA,CM,,,6," Geheimrath Dr. Chr i s t ian F r i e d r . v. Wal the r , St. Petersburg. 1849. 
"
37,1884,GGuA,CM,,,7," Geheimrath Dr. jur. N iko la i Warad inow, St. Peters-burg. 1850. 
"
38,1884,GGuA,CM,,,8," S taatsratli E r n s t F r i e d r. B o n n e 11, Bibliothekar an der kaiserl. öffentlichen Bibliothek zu St. Petersburg. 18.55. 
"
39,1884,GGuA,CM,,,9," Professor Dr. K a r l Lohmeyer , Königsberg. 1862. 
"
40,1884,GGuA,CM,,,10," B o l e s l a w L o p a c i n s k i , Ehrenritter des Malteser-ordens, Wilna. 1864. 
"
41,1884,GGuA,CM,,,11," Hofrath Adam Honory v. K i r k o r , Krakau. 1865. 
"
42,1884,GGuA,CM,,,12," Maurycy K r u p o w i c z , Secretair und Bibliothekar des Fürsten Bariatinski, Skierniewico bei Warschau. 1865. 
"
43,1884,GGuA,CM,,,13," Ca r l Cröger , Dorpat. 1865. 
"
44,1884,GGuA,CM,,,14," Geh. Regierungsrath Dr. J u l i u s v. E c k a r d t , kaiserl. deutscher Consul in Tunis. 1868. 
"
45,1884,GGuA,CM,,,15," Staatsrath J u l i u s I v e r s e n , St. Petersburg. 1872. 156 
"
46,1884,GGuA,CM,,,16," Professor Dr. R i c h a r d H a u s m a n n in Dorpat. 1872. 
"
47,1884,GGuA,CM,,,17," Dr. K o n s t a n t i n H ö h l b a u m , Stadtarchivar zu Köln. 1873. 
"
48,1884,GGuA,CM,,,18," Staatsarchivar Rudol f P h i l i p p i , Königsberg. 1876. 
"
49,1884,GGuA,CM,,,19," Stadtarchivar Dr. Kar l Kopp mann, Rostock. 1876. 
"
50,1884,GGuA,CM,,,20," Dr. Goswin F r e i h e r r von der R o p p , Professor an der Universität zu Glessen. 1876. 
"
51,1884,GGuA,CM,,,21," Professor Dr. Georg Dchio , Königsberg. 1877. 
"
52,1884,GGuA,CM,,,22," Dr. Mar t in P e r l b a c h , Gustos an der Universitäts-bibliothek zu Halle a. d. Saale. 1877. 
"
53,1884,GGuA,CM,,,23," Dr. Wil l iam Mol le rup , Kopenhagen. 1881. 
"
54,1884,GGuA,CM,,,24," Gymnasialdirector Dr. K. E. H. K r a u s e, Rostock. 1882. 
"
55,1884,GGuA,CM,,,25," Königl. schwedischer Reichsheraldiker Major K a r l Arved v. K l ingspo r , Upsala. 1883. 
"
56,1884,GGuA,CM,,,26," Oberlehrer H e i n r i c h Dieder ichs , Mitau. 1884. 
"
57,1884,GGuA,CM,,,27," Universitätsarchitekt Re in hold Guleke , Dorpat. 1884. 
"
58,1884,GGuA,CM,,,28," Stadtai'chivar Dr. T h e o d o r Sch iemann , Reval. 1884. 
"
59,1884,GGuA,CM,,,29," Staatsrath Car l V e t t e r l e i n , Bibliothekar an der kaiserl. öffentlichen Bibliothek zu St. Petersburg. 1884. 
"
60,1884,GGuA,OM,,,1," Wirkl. Staatsrath, Rigascher Bürgermeister a. D. Arend V. Berkho lz , Riga. 1837. 
"
61,1884,GGuA,OM,,,2," Rigascher Bürgermeister a. D. Gus tav flernmarck, Meran. 1840. 
"
62,1884,GGuA,OM,,,3," Professor emer. wirkl. Staatsrath Dr. Car l v. Rummel , Dorpat. 1842. 
"
63,1884,GGuA,OM,,,4," Wirkl. Geheimrath A l f r e d v. Gro te , Senateur und Oberschenk des kaiserl. Hofes, St. Petersburg. 1842. 
"
64,1884,GGuA,OM,,,5," Rigascher Stadtbibliothekar Dr. Georg Berkholz . 1842. 
"
65,1884,GGuA,OM,,,6," Buchhändler N i k o l a i Kymmel , Riga. 1843. 
"
66,1884,GGuA,OM,,,7," Rigascher Rathsherr a. D. L e o n h a r d N a p i e r s k y , Riga. 1843. Derzeitiges Mitglied des Directoriums der Gesellschaft. 157 
"
67,1884,GGuA,OM,,,8," Rigascher Bürgermeister a. D. H e i n r i c h J u l i u s  Böthführ, Riga.1843. Derzeitiges MitglieddesDirectoriums der Gesellschaft. 
"
68,1884,GGuA,OM,,,9," Gouvernementsschuldirector wirkl. Staatsrath Al ex an der  Friedrich Krannhals, Riga.1845.
"
69,1884,GGuA,OM,,,10," Wolde mar V. Bock , Vicepräsident des livländischen Hofgerichts a.. D., Quedlinburg. 1845. 
"
70,1884,GGuA,OM,,,11," Geheimrath Professor Dr. Augus t Michae l v. Bul-merincq, Heidelberg.1848.
"
71,1884,GGuA,OM,,,12," A d o l p h P r ei SS, St. Petersburg. 1848. 
"
72,1884,GGuA,OM,,,13," Hofrath A r n o l d S c h w a r t z , Inspector des Gouverne-mentsgymnasiums, Riga. 1849. 
"
73,1884,GGuA,OM,,,14," H e i n r i c h v. H a g e m e i s t e r auf Alt-Drostenhof, liv-ländischer Landrath a. D. 1851. 
"
74,1884,GGuA,OM,,,15," Geheimrath G u i d o v. S c h i l i n z k y , St. Petersburg. 1851. 
"
75,1884,GGuA,OM,,,16," ""Wirkl. Staatsrath J u l i u s v. Cube , Riga. 1854. 
"
76,1884,GGuA,OM,,,17," Mag. jur. F r i e d r i c h S t i c i n s k y , Secretär des liv-ländischen Hofgcrichts, Riga. 1856. 
"
77,1884,GGuA,OM,,,18," Staatsrath Wi lhe lm Schwar t z , Riga. 1857. 
"
78,1884,GGuA,OM,,,19," Stadthaupt J u l i u s P e t e r Reh sc he , Arensburg. 1858. 
"
79,1884,GGuA,OM,,,20," Stadtofficial Advocat Max T u n z e l m a n n v. Ad le r -flug, Riga.1859.
"
80,1884,GGuA,OM,,,21," Rigascher Rathsherr a. D. A l e x a n d e r F a l t i n , Riga. 1860. 
"
81,1884,GGuA,OM,,,22," Rathsherr R o b e r t v. Wi lm, Riga. 1861. 
"
82,1884,GGuA,OM,,,23," Dr. med. Wolde mar v. G u t z e i t , Riga. 1862. Der-zeitiges Mitglied des Directoriums der Gesellschaft. 
"
83,1884,GGuA,OM,,,24," Gymnasialdirector Staatsrath A l f r e d B ü t t n e r , Gol-dingen. 1862. 
"
84,1884,GGuA,OM,,,25," Oberlehrer des Stadtgymnasiums Staatsrath J o h n T h i e l He lms ing , Riga. 1862. 
"
85,1884,GGuA,OM,,,26," Oberlehrer des Stadtgj^mnasiums Staatsrath Dr. R o b e r t Gross , Riga. 1862. 158 
"
86,1884,GGuA,OM,,,27," Oberlehrer des Stadtgymnasiums Staatsrath Carl  Hai1er, Riga.1863.
"
87,1884,GGuA,OM,,,28," Commerzbürgermeister Dr. Emil Mat t i e sen , Dorpat. 1865. 
"
88,1884,GGuA,OM,,,29," Hofrath Ado lph K l i n g e n b e r g , Riga. 1865. 
"
89,1884,GGuA,OM,,,30," Syndicus Georg Gustav G r o o t , Pernau. 1866. 
"
90,1884,GGuA,OM,,,31," Baron T h e o d o r v. F u n c k auf Allmahlen, Kurland. 1868. Derzeitiges Mitglied des Directoriums der Gesellschaft. 
"
91,1884,GGuA,OM,,,32," Baron E r n s t von der B r ü g g e n , Berlin. 1868. 
"
92,1884,GGuA,OM,,,33," W i l h e l m v. Loewis auf Bergshof. 1868. 
"
93,1884,GGuA,OM,,,34," A l f r e d A r m i t s t e a d , Riga. 1868. 
"
94,1884,GGuA,OM,,,35," Notarius publicus C a r l Stamm, Riga. 1868. 
"
95,1884,GGuA,OM,,,36," Advocat Conrad B o r n h a u p t , Riga. 1868. 
"
96,1884,GGuA,OM,,,37," Advocat Car l v. H e d e n s t r ö m , Riga. 1868. 
"
97,1884,GGuA,OM,,,38," Advocat Augus t K a e h l b r a n d t , Riga. 1868. 
"
98,1884,GGuA,OM,,,39," J a m e s H e n r y H i l l , Riga. 1868. 
"
99,1884,GGuA,OM,,,40," E d u a r d K a u l l , Geschäftsführer der Börsenbank, Riga. 1868. 
"
100,1884,GGuA,OM,,,41," Rigascher Rathsherr a.-D. Carl Gus tav Westberg , Riga. 1868. 
"
101,1884,GGuA,OM,,,42," N i k o l a i L e m c k e , Secretär des Kämmerei- und Amts-gerichts, Riga. 1868. 
"
102,1884,GGuA,OM,,,43," F r i e d r i c h Kirstein,- Secretär des livländischen adeligen Creditvereins, Riga. 1869. 
"
103,1884,GGuA,OM,,,44," Buchdruckereibesitzer Woldemar H ä c k e r , Riga. 1869. 
"
104,1884,GGuA,OM,,,45," Kaufmann R o b e r t B r a u n , Riga. 1869. 
"
105,1884,GGuA,OM,,,46," Baron Max imi l i an v. Wolff auf Hinzenberg. 1869. 
"
106,1884,GGuA,OM,,,47," Stadtpastor G o t t h a r d V i e r h u f f , Wenden. 1871. 
"
107,1884,GGuA,OM,,,48," Advocat E r w i n Mor i t z , Riga. 1872. 
"
108,1884,GGuA,OM,,,49," Livländischer Landrath Kammerherr H e i n r i c h v. Bock auf Kersel. 1872. 
"
109,1884,GGuA,OM,,,50," Advocat C h r i s t i a n B o r n h a u p t , Riga. 1872. 
"
110,1884,GGuA,OM,,,51," Oberlehrer des Stadtgymnasiums Dr. A r t h u r Po e lchau , Riga. 1872. 159 
"
111,1884,GGuA,OM,,,52," J o h a n n C h r i s t o p h B e r e n s , Consistorialsecretär und Archivnotär des Raths, Riga. 1872. 
"
112,1884,GGuA,OM,,,53," Baron A l e x a n d e r von der Pah 1 en, Wendenscher Kreis-richter. Wenden. 1872. 
"
113,1884,GGuA,OM,,,54," R o b e r t Baum, Obersecretärsgehilfe des Raths, Riga. 1873. 
"
114,1884,GGuA,OM,,,55," Schillvorsteher T h e o d o r Menschen , Riga. 1873. 
"
115,1884,GGuA,OM,,,5G," Anton B u c h h o l t z , Secretär des Waisengerichts, Riga. 1873. Derzeitiges Mitglied des Directoriuins der Gesellschaft. 
"
116,1884,GGuA,OM,,,57," Oberlehrer des Stadtgymnasiums Dr. J o s e p h Cxirgen-sohn , Riga. 1874. Derzeitiges Mitglied des Directo-riums der Gesellschaft. 
"
117,1884,GGuA,OM,,,58," Rathsherr Dr. jur. J o h a n n C h r i s t o p h S c h w a r t z , Riga. 1874. 
"
118,1884,GGuA,OM,,,59," Advocat Dr. jur. O t t o v. Veh, Riga. 1874. 
"
119,1884,GGuA,OM,,,GO," Rathsherr A u g u s t v. K n i e r i e m , Riga. 1874. 
"
120,1884,GGuA,OM,,,61," Advocat J o h a n n e s Adam K r ö g e r , Riga. 1874. 
"
121,1884,GGuA,OM,,,62," Car l v. S ä n g e r auf Pernigel. 1874. 
"
122,1884,GGuA,OM,,,63," Advocat Dr. jur. J o h a n n B ü n g n e r , Riga. 1874. 
"
123,1884,GGuA,OM,,,64," Baron H e r m a n n B r u i n i n g k , livländischer Ritter-schaftssecretär, Riga. 1875. Derzeitiges Mitglied des Directoriums der Gesellschaft. 
"
124,1884,GGuA,OM,,,65," Redacteur A l e x a n d e r Buchho l t z , Riga. 1875. 
"
