,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1897,NVR,HM,,,1," Prof. Dr. A. Toepler, Geh. Hofrat, in Dresden . . . seit 1868 
"
2,1897,NVR,HM,,,2," Dr. Gr. Schweinfurth, in Berlin 1872 
"
3,1897,NVR,HM,,,3," Dr. F. Buhse, in Riga Stifter „ 1881 
"
4,1897,NVR,HM,,,4," Dr. K. Berg, Prof., in Buenos-Aires „ 1881 
"
5,1897,NVR,HM,,,5," Dr. H. Wild, wirkl. Staatsrat, Akademiker, in Zürich . „ 1885 
"
6,1897,NVR,HM,,,6," G. Schweder sen., Staatsrat, in Riga ,, 1887 
"
7,1897,NVR,HM,,,7," Dr. P. Schmidt, wirkl. Staatsrat, Akad., in St. Petersburg „ 1890 
"
8,1897,NVR,HM,,,8," Dr. H. B. Geinitz, Geh. Hofrat, Prof., in Dresden. . „ 1891 
"
9,1897,NVR,HM,,,9," Di\ A. Beketow, Geh.-Rat, Akad., Prof., in St.Petersburg „ 1893 
"
10,1897,NVR,HM,,,10," Dr. 0. v. Struve, wirkl. Geh.-Rat, in Karlsruhe ... „ 1894 
"
11,1897,NVR,HM,,,11," Ed. Angelbeck, Kaufmann Stifter „ 1895 
"
12,1897,NVR,HM,,,12," J. Buhse-Stubbensee, Gutsbesitzer Stifter ,, 1895 
"
13,1897,NVR,HM,,,13," Dr. K. v. Mercklin, Geh.-Rat, in St. Petersburg . '. „ 1895 
"
14,1897,NVR,HM,,,14," Dr. R. Blasius, Prof., in Braunschweig ,, 1895 
"
15,1897,NVR,HM,,,15," Dr. 0. Drude, Prof., in Dresden „ 1895 
"
16,1897,NVR,HM,,,16," Dr. A. Jentzsch, Prof., in Königsberg „ 1895 
"
17,1897,NVR,HM,,,17," Dr. E. Mach, Prof., in Wien „ 1895 
"
18,1897,NVR,HM,,,18," Dr. D. Mendelejew, Geh.-Rat, Prof., in St. Petersburg „ 1895 
"
19,1897,NVR,HM,,,19," Dr. K. Möbius, Geh.-Rat, Prof., in Berlin „ 1895 
"
20,1897,NVR,HM,,,20," Dr. A. Nehring, Prof., in Berlin „ 1895 
"
21,1897,NVR,HM,,,21," Dr. G. Neumayr, Geh. Admiralitätsrat, in Hamburg . ,, 1895 
"
