,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1874,NVR,HM,,,1," 658. Albedinski, General in Petersburg . . . seit 1867 
"
2,1874,NVR,HM,,,2," 473. Baer, K. E. v., Geheimrath, E.-M. der Pe-tersb. Akad., in Dorpat „ 1855 
"
3,1874,NVR,HM,,,3," 216. Brandt, F. v., Geheimrath, Akademiker in Petersburg .... „ 1845 
"
4,1874,NVR,HM,,,4," 677. Braun, Alex., Präses des botan. Vereins in Berlin „ 1870 
"
5,1874,NVR,HM,,,5," 19. Buchholtz, Aug., Dr. phil Stifter „ 1870 
"
6,1874,NVR,HM,,,6," 679. Dechen, v., Geh. Oberbergrath in Bonn . „ 1870 
"
7,1874,NVR,HM,,,7," 285. Dohm, C. A., Präses des entom. Vereins in Stettin „ 1848 
"
8,1874,NVR,HM,,,8," 678. Dubois-Reymond, Secret. d. Akad. in Berlin „ 1870 
"
9,1874,NVR,HM,,,9," 279. Eichwald, Ed. v., Dr., Geheimrath in Petersb. „ 1848 
"
10,1874,NVR,HM,,,10," 680. Fresenius, R., Präses des naturh. Vereins in Wiesbaden „ 1870 
"
11,1874,NVR,HM,,,11," 190. Golownin, A. W., Geheimrath in Petersburg „ 1864 
"
12,1874,NVR,HM,,,12," 676. Goeppert, Präses der schlesischen Gesell­schaft in Breslau „ 1870 
"
13,1874,NVR,HM,,,13," 247. Grewingk, C., Professor in Dorpat ... „ 1870 
"
14,1874,NVR,HM,,,14," 280. Helmersen, G. v., General, Akademiker in Petersburg „ 1848 
"
15,1874,NVR,HM,,,15," 70. Kawall, H., Pastor in Pussen (Kurl.). . . Stifter „ 1870 
"
16,1874,NVR,HM,,,16," 667. Kessler, Dr., Rector der Univ. in Petersburg „ 1866 
"
17,1874,NVR,HM,,,17," 585. Keyserling, Graf, Alexander, Geh.-Rath in Raiküll (Estl.) „ 1864 
"
18,1874,NVR,HM,,,18," 681. Kokscharow, Präses der mineral. Gesell­schaft in Petersburg „ 1870 
"
19,1874,NVR,HM,,,19," 569. Lieven, Baron, W., General, Mitglied des Reichsraths in Petersburg „ 1862 
"
20,1874,NVR,HM,,,20," 692. Lütke, Graf, Admiral in Petersburg ... „ 1870 
"
21,1874,NVR,HM,,,21," 472. Middendorff, Geheimrath, Akademiker in Hellenorm (Livl.) » 1855 
"
22,1874,NVR,HM,,,22," 110. Müller, C. J. G., Dr. med. in Riga . . . Stifter „ 1870 - 175 — 
"
