,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1882,NVR,HM,,,1," 658. Albedinsky, Gen.-Gouverneur von Warschau seit 1867 
"
2,1882,NVR,HM,,,2," 605. Berg, Karl, Dr. phil., Prof. in Buenos-Ayres ,, 1881 
"
3,1882,NVR,HM,,,3," 21. Buhse, Fr., Dr. phil., in Riga Stifter „ 1881 
"
4,1882,NVR,HM,,,4," 679. Dechen, Wirkl. Geheimrat in Bonn ... ,, 1870 
"
5,1882,NVR,HM,,,5," 285. Dohrn, 0. A., Präses des entomolog. Ver-eius in Stettin „ 1848 
"
6,1882,NVR,HM,,,6," 678. Dubois-Reymond, Professor in Berlin . . „ 1870 
"
7,1882,NVR,HM,,,7," 680. Fresenius, R., Präses des naturhistor. Ver­eins in Wiesbaden „ 1870 
"
8,1882,NVR,HM,,,8," 676. Goeppert, Präses der schlesischen Gesell­schaft in Breslau „ 1870 
"
9,1882,NVR,HM,,,9," 247. Grewingk, C., Prof., wirkl. Staatsrat, in Dorpat „ 1870 
"
10,1882,NVR,HM,,,10," 280. Helmersen, G. v., General in Petersburg . „ 1848 
"
11,1882,NVR,HM,,,11," 585. Keyserling, Graf, Alex., in Raiküll (Estl.) „ 1864 
"
12,1882,NVR,HM,,,12," 681, Kokscharow, General, Akadem.-Direktor des Bergkorps in Petersburg „ 1870 
"
13,1882,NVR,HM,,,13," 472. Middendorf^ Geheimrat in Hellenorm (Livl,) „ 1855 
"
14,1882,NVR,HM,,,14," 752. Petzholdt, Ales., Prof. emer., wirkl. Staats­rat in Freiburg in Baden „ 1881 
"
15,1882,NVR,HM,,,15," 602. Renard, Geheimrat in Moskau ..... „ 1865 
"
16,1882,NVR,HM,,,16," 674. Schmidt, C., Professor, wirkl. Staatsrat in Dorpat „ 1870 
"
17,1882,NVR,HM,,,17," 601. Schuwalow, Graf P „ 1865 
"
18,1882,NVR,HM,,,18," 625. Schweinfurth, G., Dr. phil „ 1872 
"
19,1882,NVR,HM,,,19," 636. Toepler, Aug., Professor in Dresden . , „ 1868 
"
20,1882,NVR,HM,,,20," 626. Tolstoi, Graf D., wirkl. Geheimrat, Minister in Petersburg „ 1867 
"
21,1882,NVR,HM,,,21," 627. Trautvetter, Direktor des botanischen Gar­tens in Petersburg . „ 1867 
"
22,1882,NVR,HM,,,22," 506. Vesselofskv, best. Sekretär der Akademie der Wissenschaften in Petersburg . . , ,, 1870 
"
23,1882,NVR,ConM,,,1," 616. Hoyningen von Huene in Lechts (Estl.) . seit 1867 
"
24,1882,NVR,ConM,,,2," 776. Wulf, A. v., Besitzer von Lennewarden (Livland) „ 1873 
"
25,1882,NVR,ConM,,,3," 878. Rautenfeld, H. v., auf Lindenruh ... „ 1879 
"
26,1882,NVR,OM,HL,IN,1," 858. Albrecht, M., Dr. phil., Fabrikdirektor . seit 1876 
"
27,1882,NVR,OM,HL,IN,2," 609. Ailenstein, Dr. med „ 1869 
"
28,1882,NVR,OM,HL,IN,3," 3. Angelbeck, Ed., Pharmaceut ..... Stifter ,, 1845 
"
29,1882,NVR,OM,HL,IN,4," 863. Anspach, Th., Pharmaceut „ 1878 
"
30,1882,NVR,OM,HL,IN,5," 739. Banken, M., Lehrer ,, 1873 
"
31,1882,NVR,OM,HL,IN,6," 786. Barth, E., Schulvorsteher „ 1875 
"
32,1882,NVR,OM,HL,IN,7," 837. Baumann, J., Architekt „ 1876 
"
33,1882,NVR,OM,HL,IN,8," 659. Behrmann, Th., Fabrikdirektor .... „ 1869 
"
34,1882,NVR,OM,HL,IN,9," 880. Beck, A., Dr. phil., Professor „ 1879 
"
35,1882,NVR,OM,HL,IN,10," 261. Berg, F., Direktor der Realschule ... „ 1847 
"
36,1882,NVR,OM,HL,IN,11," 902. Berg, Paul, Cand. ehem., Assistent am Polytechnikum ,, 1881 
"
37,1882,NVR,OM,HL,IN,12," 734. Behrmann, P., Lehrer „ 1872 
"
38,1882,NVR,OM,HL,IN,13," 438. Bernhardt, R., Kreisfiskal „ 1853 
"
39,1882,NVR,OM,HL,IN,14," 710. Bernhardt, R., Lehrer „ 1871 
"
40,1882,NVR,OM,HL,IN,15," 737. Berteis, A., Dr. phil „ 1871 
"
41,1882,NVR,OM,HL,IN,16," 203. Blumenthal, J., Dr. med., Hofrat ... „ 1846 
"
42,1882,NVR,OM,HL,IN,17," 815. Bockslaff, N., Makler „ 1875 
"
43,1882,NVR,OM,HL,IN,18," 906. Bolton, Kaufmann „ 1881 
"
44,1882,NVR,OM,HL,IN,19," 15. Bornhaupt, Dr. phil Stifter „ 1845 
"
45,1882,NVR,OM,HL,IN,20," 624. Bornhaupt, O., Konsulent „ 1868 
"
46,1882,NVR,OM,HL,IN,21," 771. Braunstein, M., Lehrer „ 1873 
"
47,1882,NVR,OM,HL,IN,22," 897. Bruhns, Ed., Buchhändler „ 1881 
"
48,1882,NVR,OM,HL,IN,23," 647. Buchardt, Th., Apotheker „ 1868 
"
49,1882,NVR,OM,HL,IN,24," 888. Büngner, Gust., Cand., Oberlehrer ... ,, 1880 
"
50,1882,NVR,OM,HL,IN,25," 22. Buhse, Jak., auf Stubbensee Stifter „ 1845 
"
51,1882,NVR,OM,HL,IN,26," 840. Carlile, Hugh, Eisenbahndirektor .... „ 1878 
"
52,1882,NVR,OM,HL,IN,27," 894. Chrzanowski, Alex „ 1881 
"
53,1882,NVR,OM,HL,IN,28," 718. Deeters, H., Dr. med „ 1872 
"
54,1882,NVR,OM,HL,IN,29," 758. Dohne, Fr., Lehrer ,, 1873 
"
55,1882,NVR,OM,HL,IN,30," 811. Dombrowski, Beamter ,, 1875 
"
56,1882,NVR,OM,HL,IN,31," 829. Donner, L. W., Lehrer „ 1876 
"
57,1882,NVR,OM,HL,IN,32," 597. Dulckeit, J., Zahnarzt ....... ,, 1864 
"
58,1882,NVR,OM,HL,IN,33," 33. Eckers, Koll.-Rath . . . . Stifter seit 1845 
"
59,1882,NVR,OM,HL,IN,34," 828. Effert, Ed., Lehrer „ 1876. 
"
60,1882,NVR,OM,HL,IN,35," 809. Ehrlich, Joh., Kronslandmesser .... „ 1875 
"
61,1882,NVR,OM,HL,IN,36," 756. Erasmus, W., Apotheker „ 1873 
"
62,1882,NVR,OM,HL,IN,37," 621. Esche, Dr. med „ 1867 
"
63,1882,NVR,OM,HL,IN,38," 801. Felser, Oaw., Kaufmann „ 1875 
"
64,1882,NVR,OM,HL,IN,39," 844. Fetting, P. v., wirkl. Staatsrat .... ,, 1877 
"
65,1882,NVR,OM,HL,IN,40," 862. Fleischer, Hugo, Beamter ...... „ 1878 
"
66,1882,NVR,OM,HL,IN,41," 649. Förster, €., Dr. med „ 1868 
"
67,1882,NVR,OM,HL,IN,42," 821. Forsch, Rob., Eisenbahnbeamter .... „ 1876 
"
68,1882,NVR,OM,HL,IN,43," 38. Frederking, C. W., Mag. pharm. . . . Stifter „ 1845 
"
69,1882,NVR,OM,HL,IN,44," 869. Friedenberg, Lehrer „ 1878 
"
70,1882,NVR,OM,HL,IN,45," 629. Pritsche, Oberförster „ 1868 
"
71,1882,NVR,OM,HL,IN,46," 537. Fromm, W., Lehrer „ 1860 
"
72,1882,NVR,OM,HL,IN,47," 783. Gerich, E., Kaufmann „ 1874 
"
