,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1911,GEG,HM,HL,,1," Dr. J. R. Aspelin, Professor und Staatsarchäologe in Hel-singfors, seit. 1887. 
"
2,1911,GEG,HM,HL,,2," Hermann Baron Bruiningk, Ritterschaftsarchivar in Riga, 1887. 
"
3,1911,GEG,HM,HL,,3," Dr. Johannes Engelmann, Professor em. in Dorpat, 1861, resp. 1910. 
"
4,1911,GEG,HM,HL,,4," Dr. Richard Hausmann, Professor em. in Dorpat, 1871, resp. 1896. 
"
5,1911,GEG,HM,HL,,5," Dr. Wolfgang Schlüter, Privatdocent in Dorpat, 1877, resp. 1911, Präsident der Gelehrten Estnischen Gesellschaft. 
"
6,1911,GEG,HM,HL,,6," Andrei Alexandrowitsch Ssaburow, Senateur, Mitglied des Reichsrats in St.-Petersburg, 1876. 
"
7,1911,GEG,HM,HL,,7," Iwan Iwanowitsch Graf Tolstoi, Yicepräsident der Akademie der Künste in St.-Petersburg, 1882. 
"
8,1911,GEG,HM,HL,,8," Gräfin Praskowja Ssergejewna Uwarowa, Präsident der Kaiserl. Archäologischen Gesellschaft in Moskau, 1887. 
"
9,1911,GEG,HM,AB,,9," Dr. Adalbert Bezzenberger, Prof. in Königsberg, 1894. 
"
10,1911,GEG,HM,AB,,10," Dr. Georg Loeschcke, Prof. in Bonn, 1889. 
"
11,1911,GEG,HM,AB,,11," Dr. Leopold Schröder, Prof. in Wien, 1894. 
"
12,1911,GEG,HM,AB,,12," Dr. Ludwig S tie da, Prof. in Königsberg, 1864, resp. 1885. 
"
13,1911,GEG,HM,AB,,13," Dr. Wilhelm Thomsen, Prof. in Kopenhagen. 1887. 134 
"
14,1911,GEG,CM,HL,,1," Dr. Hjalmar Appelgren, Konservator des Archäologischen Museums in Helsingfors, seit 1901. 
"
15,1911,GEG,CM,HL,,2," Dr. Eduard Berendts, Prof. der Kais. Rechtsschule in St.-Petersburg, 1899. 
"
16,1911,GEG,CM,HL,,3," Gottlieb von Blanckenhagen auf Weissenstein bei Wen­den, 1889. 
"
17,1911,GEG,CM,HL,,4," Frau Elisabeth v. Blanckenhagen auf Allasch, 1889. 
"
18,1911,GEG,CM,HL,,5," Dr. Max Buch in Helsingfors. 1882. 
"
19,1911,GEG,CM,HL,,6," Nikolaus Busch, Stadtbibliothekar in Riga, 1889 resp. 1908, 
"
20,1911,GEG,CM,HL,,7," Titus Christiani, Stadtarchivar in Dorpat, 1886 resp. 1903. 
"
21,1911,GEG,CM,HL,,8," Heinrich Diederichs, Oberlehrer in Mitau, 1901. 
"
22,1911,GEG,CM,HL,,9," Dr. Wladislaw Dybowski in Minsk, 1879. 
"
23,1911,GEG,CM,HL,,10," Eugen Filaretow, Oberlehrer am Landesgymnasium in Mitau, 1901 resp. 1910. 
"
24,1911,GEG,CM,HL,,11," Konrad v. Gersdorff auf Hochrosen, 1889. 
"
25,1911,GEG,CM,HL,,12," Dr. Reinhold Hausen in Helsingfors, 1883. 
"
26,1911,GEG,CM,HL,,13," Dr. Axel Heikel in Helsingfors, 1887. 
"
27,1911,GEG,CM,HL,,14," Bernhard Hollander, Direktor der Albertschule in Riga, 1908. 
"
28,1911,GEG,CM,HL,,15," Dr. W. Ilo w ai ski, Professor in Moskau, 1881. 
"
29,1911,GEG,CM,HL,,16," Mag. Edwin Johannson, Direktor der Mineralwasseranstalt in Riga, 1883. 
"
30,1911,GEG,CM,HL,,17," Dr. Oskar Li even, Direktor der Zementfabrik in Noworossiisk. 1894. 
"
31,1911,GEG,CM,HL,,18," Konstantin Mettig, Inspektor der Realschule in Riga. 1887. 
"
32,1911,GEG,CM,HL,,19," Dr. Wilhelm Neu mann, Architekt in Riga, 3890. 
"
33,1911,GEG,CM,HL,,20," Dr. Wilhelm Radi off, Akademiker in St.-Petersburg, 1860. 
"
34,1911,GEG,CM,HL,,21," Dr. Alexander Rosenberg, Prof. em. in Dorpat, 1896. 
"
35,1911,GEG,CM,HL,,22," Dr. Alfred Schneider in Trikaten, 1893. 
"
36,1911,GEG,CM,HL,,23," Dr. Emil Setälä, Prof. in Helsingfors, 1891. 
"
37,1911,GEG,CM,HL,,24," Oskar v. Seidlitz- Meyershof in Dorpat, 1887. 
"
38,1911,GEG,CM,HL,,25," E. v. Sievers auf Autzeem, 1889. 
"
39,1911,GEG,CM,HL,,26," Leo v. Si ever s auf Alt-Kusthof, 1902. 
"
40,1911,GEG,CM,HL,,27," Arthur Spreckelsen, Oberlehrer in Reval, 1908. 135 
"
41,1911,GEG,CM,AB,,28," Lord John Abercromby in Edinburg, 1900. 
"
42,1911,GEG,CM,AB,,29," Prof. MaxBoehm, Oberlehrer in Gebweiler 1889, resp. 1911. 
"
43,1911,GEG,CM,AB,,30," Dr. Heinrich Bruns, Professor u. Dir. der Sternwarte in Leipzig, 1876. 
"
44,1911,GEG,CM,AB,,31," Senator Domenico Comparetti in Rom, 1902. 
"
45,1911,GEG,CM,AB,,32," Dr. Joseph Girgensohn in Frankfurt a. M., 1887. 
"
46,1911,GEG,CM,AB,,33," Heinrich К e m к e, Custos am Prussia-Museum und Vorstands­mitglied der Altertumsgesellschaft Prussia in Königsberg i. P. 1900. 
"
47,1911,GEG,CM,AB,,34," Konstantin v. Kügelgen, Pastor in Chemnitz, 1886 resp. 1896. 
"
48,1911,GEG,CM,AB,,35," Dr. August Leskien, Prof. in Leipzig, 1874. 
"
49,1911,GEG,CM,AB,,36," Dr. Wilhelm Lexis, Prof. in Göttingen, 1876. 
"
50,1911,GEG,CM,AB,,37," Dr. Edgar Löning, Prof. in Halle, 1883. 
"
51,1911,GEG,CM,AB,,38," Dr. Oskar M о n t e 1 i u s, Prof. und Reichsantiquarius in Stock­holm, 1876. 
"
52,1911,GEG,CM,AB,,39," Dr. Theodor NöIdeeke, Prof. in Strassburg, 1870. 
"
53,1911,GEG,CM,AB,,40," Dr. Paolo Emilio Pavolini, Prof. am R. 1st. di studi sup. in Florenz, 1902. 
"
54,1911,GEG,CM,AB,,41," Dr. Gustav Retzius, Prof. emer. des Kungl. Karolinska med.-kirurg. Instituts in Stockholm, 1876. 
"
55,1911,GEG,CM,AB,,42," Dr. John Rhys, Prof. in Oxford, 1875. 
"
56,1911,GEG,CM,AB,,43," Dr. Franz Riihl, Prof. in Königsberg, 1876. 
"
57,1911,GEG,CM,AB,,44," Dr. Theodor Schiemann, Prof. in Berlin, 1887. 
"
58,1911,GEG,CM,AB,,45," Dr. Wilhelm S tie da, Prof. in Leipzig, 1882. 
"
59,1911,GEG,CM,AB,,46," Dr. Hermann Suchier, Prof. in Halle. 1876. 
"
60,1911,GEG,CM,AB,,47," Dr. Emilio Teza, Prof. in Padua, 1902. 
"
61,1911,GEG,OM,HL,IN,1," Paul Arndt, Bankbeamter, seit 1904. 
"
62,1911,GEG,OM,HL,IN,2," Franz Adolphi, Oberlehrer, 1911. 
"
63,1911,GEG,OM,HL,IN,3," August Assmuss, stud. math. 1911. 
"
64,1911,GEG,OM,HL,IN,4," *Emil Bach, Oberlehrer, 1904.  
"
65,1911,GEG,OM,HL,IN,5," Frl. Hedwig von Behaghel 1911. 
"
66,1911,GEG,OM,HL,IN,6," Alfred v. Bidder, stud, theol. 1910. 
"
67,1911,GEG,OM,HL,IN,7," Helmuth v. Blanckenhagen, stud. med. 1911. 
"
68,1911,GEG,OM,HL,IN,8," Harry v. Broecker, Rechtsanwalt, 1899. 
"
69,1911,GEG,OM,HL,IN,9," Dr. Axel Buck. Assistent der psychiatrischen Klinik, 1909. 
"
70,1911,GEG,OM,HL,IN,10," Dr. Alexander v. Bulmerincq, Professor, 1900. 
"
71,1911,GEG,OM,HL,IN,11," Edgar v. Cossart, Secretär, 1911. 
"
72,1911,GEG,OM,HL,IN,12," Rudolf von Cossart, Distriktsinspektor, 1911. 
"
73,1911,GEG,OM,HL,IN,13," Friedrich von Dahl, stud. med. 1911. 
"
74,1911,GEG,OM,HL,IN,14," Dr. Karl Dehio, Professor, 1886. 
"
75,1911,GEG,OM,HL,IN,15," Eduard Dross, Kirchen Vorsteher, 1911. 
"
76,1911,GEG,OM,HL,IN,16," Arved Eichhorn, Stadtarchitekt, 1911. 
"
77,1911,GEG,OM,HL,IN,17," * Wilhelm Eisenschmidt, Pastor, 1870. 
"
78,1911,GEG,OM,HL,IN,18," Axel v. Ekesparre, Sekretär der Kreditsocietät, 1910. 
"
79,1911,GEG,OM,HL,IN,19," Robert Baron Engelhardt, 1911. 
"
80,1911,GEG,OM,HL,IN,20," Rudolf Baron Engelhardt, Architekt, 1911. 
"
81,1911,GEG,OM,HL,IN,21," Johannes Eschscholtz, Jouvelier, 1911 
"
82,1911,GEG,OM,HL,IN,22," Heinrich Fenner, stud, jur., 1911. 
"
83,1911,GEG,OM,HL,IN,23," Johannes Fischer, Ältermann der Kleinen Gilde, 1911. 
"
84,1911,GEG,OM,HL,IN,24," Magnus Fleischer, stud, jur, 1908. 
"
85,1911,GEG,OM,HL,IN,25," Dr. Ferdinand Francken, Arzt, 1911. 
"
86,1911,GEG,OM,HL,IN,26," Ernst Frey, 1898, Sekretär und Konservator der Ges. 
"
87,1911,GEG,OM,HL,IN,27," Robert Funcke, stud, theol., 1904. 
"
88,1911,GEG,OM,HL,IN,28," Mag. Alfred Grass, Schuldirektor, 1887. 
"
89,1911,GEG,OM,HL,IN,29," Mag. Konrad Grass, Professor, 1911. 
"
90,1911,GEG,OM,HL,IN,30," Dr. Emil Graubner, Arzt, 1905. 
"
91,1911,GEG,OM,HL,IN,31," Axel von Grewingk, Oberbevollmächtigter, 1911. 
"
92,1911,GEG,OM,HL,IN,32," Rudolf Griwing, Musikdirektor, 1911. 
"
93,1911,GEG,OM,HL,IN,33," Alexander Grossmann, Stadtrat, 1911. 
"
94,1911,GEG,OM,HL,IN,34," *Max. v. Güldenstubbe, dim. Landrichter, 1881. 
"
95,1911,GEG,OM,HL,IN,35," Dr. Hans Hahn, Arzt, 1911. 
"
96,1911,GEG,OM,HL,IN,36," Eduard Haller, Oberlehrer, 1894, Schatzmeister der Ges. 
"
97,1911,GEG,OM,HL,IN,37," Meinhard Hansen, Bibliothekarsgehilfe, 1902, 
"
98,1911,GEG,OM,HL,IN,38," * Arnold Hasselblatt, Redakteur 1876. 
"
99,1911,GEG,OM,HL,IN,39," Werner Hildebrandt, stud. med. 1911. 
"
100,1911,GEG,OM,HL,IN,40," Burchard Hirschheydt, stud. jur. 1911.  
"
101,1911,GEG,OM,HL,IN,41," Dr. Otto Hohlbeck, Arzt 1908. 
"
102,1911,GEG,OM,HL,IN,42," Karl Jansen, Kaufmann 1904. 
"
103,1911,GEG,OM,HL,IN,43," Johann Jögewer, Lektor der estnischen Sprache 1899. 
"
104,1911,GEG,OM,HL,IN,44," *Dr. Oskar Kallas, Oberlehrer, 1889. 
"
105,1911,GEG,OM,HL,IN,45," Michael Kampmann, Lehrer, 1908. 
"
106,1911,GEG,OM,HL,IN,46," Dr. Eduard Kengsep, Arzt. 1891. 
"
107,1911,GEG,OM,HL,IN,47," Siegfried v. Kieseritzky, Droguist, 1896. 
"
108,1911,GEG,OM,HL,IN,48," *Pontus v. Knorring 1891. 
"
109,1911,GEG,OM,HL,IN,49," Dr. Heinrich Koppel, Arzt. 1894. 
"
110,1911,GEG,OM,HL,IN,50," Dr. Alfons Kramer, Arzt, 1911. 
"
111,1911,GEG,OM,HL,IN,51," Jeannot Krüger, Buchhändler, 1882. 
"
112,1911,GEG,OM,HL,IN,52," Dr. Theodor Lackschewitz, Arzt, 1911. 
"
113,1911,GEG,OM,HL,IN,53," Dr. August Lezius, Stadtarzt, 1889. 
"
114,1911,GEG,OM,HL,IN,54," Hermann Lezius, Pastor, 1904. 
"
115,1911,GEG,OM,HL,IN,55," Siegfried Luther, stud, hist., 1908. 
"
116,1911,GEG,OM,HL,IN,56," Hans Margens, Handelsschuldirektor 1900. 
"
