,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1885,GEG,HM,HL,,1," Dr. A. A hlquist, Professor der finnischen Sprachen in Helsingfors. 
"
2,1885,GEG,HM,HL,,2," Nikolai Freiberr v. Bo gn s ch e w s ki in Pleskan. 
"
3,1885,GEG,HM,HL,,3," Woldemar Gras v o n dem Br o el<  Pleiter auf Dombrowitza in Wolhynien. 
"
4,1885,GEG,HM,HL,,4," T h e o d o r Baron Bühler,Geheimrath,Director des Haupt'Staatsarchivs des Ministe-riums der auswärtigen Angelegenheiten • in Moskau. 
"
5,1885,GEG,HM,HL,,5,"  C a r l  ( S t ö g e r ,  e i n .  L e h r e r  d e r  S c h m i d t ' s c h e n  Anstalt in Fellin. 
"
6,1885,GEG,HM,HL,,6," Dr. C. Grewingk, Professorder Mineralogiein Dorpat. 
"
7,1885,GEG,HM,HL,,7," A. Kapustin, Geheimrath, Cnrator des Dorptschen Lehrbezirks. 
"
8,1885,GEG,HM,HL,,8,"  Dr. P. I. Karll, Leibarzt und Geheimrath in St. Petersburg. 
"
9,1885,GEG,HM,HL,,9," Dr. Alexander Graf Keyserling, Hof-meister auf Raiküll in Estland. 
"
10,1885,GEG,HM,HL,,10," E- Kunik, Akademiker in St. Petersburg. 
"
11,1885,GEG,HM,HL,,11," G e o r g Ale x ander, Herzog zu. Mecklen: burg-Strelitz in St. Petersburg. 
"
12,1885,GEG,HM,HL,,12," A. A. Ssaburow, Staatssecretär und Sena-teiir in St. Petersburg. 
"
13,1885,GEG,HM,HL,,13," Alex. Baron Stackelberg, Senatenr. 
"
14,1885,GEG,HM,HL,,11," SB. v. Stryk, bim. Landrath in Dorpat. 
"
15,1885,GEG,HM,HL,,15," Iwan Graf Tolstoi in St. Petersburg. 
"
16,1885,GEG,HM,HL,,IG," F. S. Wiedemann, Geheimrath, Akademie ker in St. Petersburg. 
"
17,1885,GEG,HM,AB,,17," Prinz Louis Luciau Bonaparte, K. H., in Lonbon. 
"
18,1885,GEG,HM,AB,,18," Dr. F. G. v. B u n g e, Wirkl. Staatsrath in Wiesbaben. 
"
19,1885,GEG,HM,AB,,19," Dr. Paul Hunfalvy, Akaberniker in Budapest. 
"
20,1885,GEG,HM,AB,,20," Dr. A. F. Pott, Professor ber allgemeinen Sprachwissenschaft in Halle. 
"
21,1885,GEG,HM,AB,,21," Dr. W. Schott, Professor ber philosophischen Facultät in Berlin. 
"
22,1885,GEG,HM,AB,,22," Dr. C. Schirren, Professor der Geschichte in Kiel. 
"
23,1885,GEG,HM,AB,,23," Dr. Ludwig Stiebet, Professor ber Anatomie in Königsberg. 
"
24,1885,GEG,HM,AB,,21," Dr. E. A. Winkel m ann, Professor der Geschichte in Heidelberg. 
"
25,1885,GEG,OM,HL,IN,1," Paul Birkenwalb, Provisor, Assistent am pharmaceutischen Institut ber Universität. 
"
26,1885,GEG,OM,HL,IN,2," Roberto. BeHagel-Adlerskron, Accise-Beamter. 
"
27,1885,GEG,OM,HL,IN,3," Dr. N. Bonwetsch, Prof. der hist. Theologie. 
"
28,1885,GEG,OM,HL,IN,4," Dr. Alexande r B r ü ck n e r, Professor der Geschichte Rußlands. 
"
29,1885,GEG,OM,HL,IN,5," Carl Bartelsen, Kunstgärtner. 
"
30,1885,GEG,OM,HL,IN,6," Alex. Braudo stud. hist. 
"
31,1885,GEG,OM,HL,IN,7," Dr. Max Braun, Professor der Zoologie. 
"
32,1885,GEG,OM,HL,IN,8," G. Blumberg, Gymnasiallehrer. 
"
33,1885,GEG,OM,HL,IN,9," Dr. B. 33 runner, Professor der Technologie und Landwirthfchaft. 
"
34,1885,GEG,OM,HL,IN,10," Dr. I. Bandouin de Conrteuay, Pro­fessor der slavischen Sprachen. 
"
35,1885,GEG,OM,HL,IN,11," A. v. Dehn. 
"
36,1885,GEG,OM,HL,IN,11," Conrad v. Dehn, Stud. hist. 
"
37,1885,GEG,OM,HL,IN,13," Erwin v. Dehn, Stud. theol. 
"
38,1885,GEG,OM,HL,IN,14," Dr. Dragendorsf, Professor der Pharmacie. 
"
39,1885,GEG,OM,HL,IN,15," Dr. O. Duhmberg, Staatsrath. 
"
40,1885,GEG,OM,HL,IN,16," C. Duhmberg, Stud. hist. 
"
41,1885,GEG,OM,HL,IN,17," Dr. I. Engelmann, Prof. des russ. Rechts. 
"
42,1885,GEG,OM,HL,IN,18," W. Eisenschmidt, Pastor der St. Petri-Gemeinde. 
"
43,1885,GEG,OM,HL,IN,19," A. Baron Foelckersahm, Stud. jur. 
"
44,1885,GEG,OM,HL,IN,20," L6on Goertz, Oberlehrer. 
"
45,1885,GEG,OM,HL,IN,21," Ad. Grenzstein, Seminarlehrer. 
"
46,1885,GEG,OM,HL,IN,22," W. v. G ü l d e n st u b b e. 
"
47,1885,GEG,OM,HL,IN,23," R. Guleke, Universitäts-Architekt. 
"
48,1885,GEG,OM,HL,IN,24," P. Hagemann, Geschäftsführer der Schua-kenbnrg'schen Druckerei. 
"
49,1885,GEG,OM,HL,IN,25," Arnold Hasselblatt, Cand. hist. 
"
50,1885,GEG,OM,HL,IN,26," Richard Hasselblatt, Stud. hist. 
"
51,1885,GEG,OM,HL,IN,27," Dr. R. Hausmann, Professor der Geschichte. 
"
52,1885,GEG,OM,HL,IN,28," W. Harmsen, Stud. med. 
"
53,1885,GEG,OM,HL,IN,21.,") Dr. K. A. Hermann, Rebacteur. 
"
54,1885,GEG,OM,HL,IN,30," Dr. W. Horschelmann, Professor der Philologie. 
"
55,1885,GEG,OM,HL,IN,31," Fr. Hollmann, Seminar-Director. 
"
56,1885,GEG,OM,HL,IN,32," I. W. Iannsen, ehem. Redacteur des „Eesti Postimees"". 
"
57,1885,GEG,OM,HL,IN,33," Jakob Iurgensohn, Stud. hist. 
"
58,1885,GEG,OM,HL,IN,34," Carl Iürgenson, Stud. 
"
59,1885,GEG,OM,HL,IN,35," Dr B. Körber, Professor der Staatsarznei-künde. 
"
60,1885,GEG,OM,HL,IN,36," Z. Klinge, Mag., Gehilfe des Directors des Botanischen Gartens. 
"
61,1885,GEG,OM,HL,IN,37," Benj. Kordt, Bibliothekar-Gehilfe. 
"
62,1885,GEG,OM,HL,IN,38," Carl Krüger, Buchhändler. 
"
63,1885,GEG,OM,HL,IN,39," H. Laakma ittt, Buchdrucker. 
"
64,1885,GEG,OM,HL,IN,40," H. Soff I er, Cand. der vergl. Sprachfor­schung. 
"
65,1885,GEG,OM,HL,IN,41," G. Ludwigs, Cand., Coll.-Assessor. 
"
66,1885,GEG,OM,HL,IN,42," A. Luubman, Gymnasiallehrer. 
"
67,1885,GEG,OM,HL,IN,43," Dr. E. M a11iesen, Commerz-Bürgermeister, Redacteur. 
"
68,1885,GEG,OM,HL,IN,44," F. Baron M a y d e l l-Krudnershof, dim. Kreis-richter. 
"
69,1885,GEG,OM,HL,IN,45," G. Michelson, Cand. der vergl. Sprach­wissenschaft. 
"
70,1885,GEG,OM,HL,IN,46," Mag. Carl 9)i cinbeltu, Privatdoceut. 
"
71,1885,GEG,OM,HL,IN,47," Dr. Leonhard M a s ittg, stellv. Docent der Russ. Sprache. 
"
72,1885,GEG,OM,HL,IN,48," Carl M asing, Privatlehrer. 
"
